[{'timestamp': 'Jun 18 2018 09:19:49', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:50', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:51', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:51', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:52', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:53', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:54', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:55', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:56', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:57', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:57', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:58', 'pm2.5': 28}, {'isSent': False}]
